주문번호,주문일,고객등급,채널,지역,상품,분류,수량,단가,매출액,월,요일,대형주문
ORD1038,2026-01-22,일반,전화,부산,이어폰,주변기기,5,89000,445000,1,목,False
ORD1039,2026-01-22,실버,웹,광주,이어폰,주변기기,5,89000,445000,1,목,False
ORD1040,2026-01-23,VIP,웹,광주,노트북,가전,2,1200000,2400000,1,금,True
ORD1041,2026-01-23,VIP,전화,광주,이어폰,주변기기,1,89000,89000,1,금,False
ORD1042,2026-01-23,골드,웹,부산,키보드,주변기기,2,45000,90000,1,금,False
ORD1043,2026-01-23,골드,웹,서울,키보드,주변기기,4,45000,180000,1,금,False
ORD1044,2026-01-26,골드,웹,부산,모니터,가전,5,350000,1750000,1,월,True
ORD1045,2026-01-26,실버,앱,광주,키보드,주변기기,3,45000,135000,1,월,False
ORD1046,2026-01-26,일반,전화,광주,텀블러,생활,5,28000,140000,1,월,False
ORD1047,2026-01-26,일반,웹,광주,모니터,가전,3,350000,1050000,1,월,True
ORD1048,2026-01-27,실버,전화,부산,가습기,생활,3,65000,195000,1,화,False
ORD1049,2026-02-02,일반,웹,부산,텀블러,생활,3,28000,84000,2,월,False
ORD1050,2026-02-02,VIP,전화,대구,키보드,주변기기,2,45000,90000,2,월,False
ORD1051,2026-02-02,일반,앱,광주,가습기,생활,2,65000,130000,2,월,False
ORD1052,2026-02-04,골드,웹,경기,키보드,주변기기,1,45000,45000,2,수,False
ORD1053,2026-02-04,실버,웹,경기,이어폰,주변기기,4,89000,356000,2,수,False
ORD1054,2026-02-05,골드,앱,경기,노트북,가전,2,1200000,2400000,2,목,True
ORD1055,2026-02-05,일반,앱,경기,노트북,가전,4,1200000,4800000,2,목,True
ORD1056,2026-02-05,실버,웹,서울,키보드,주변기기,3,45000,135000,2,목,False
ORD1057,2026-02-06,골드,앱,광주,텀블러,생활,1,28000,28000,2,금,False
ORD1058,2026-02-06,일반,웹,부산,이어폰,주변기기,3,89000,267000,2,금,False
ORD1059,2026-02-07,VIP,앱,부산,노트북,가전,1,1200000,1200000,2,토,True
ORD1060,2026-02-07,일반,앱,서울,노트북,가전,4,1200000,4800000,2,토,True
ORD1061,2026-02-08,골드,앱,서울,가습기,생활,2,65000,130000,2,일,False
ORD1062,2026-02-08,일반,전화,부산,이어폰,주변기기,3,89000,267000,2,일,False
ORD1063,2026-02-08,골드,전화,경기,키보드,주변기기,4,45000,180000,2,일,False
ORD1064,2026-02-08,골드,앱,광주,마우스,주변기기,2,25000,50000,2,일,False
ORD1065,2026-02-09,골드,앱,대구,마우스,주변기기,5,25000,125000,2,월,False
ORD1066,2026-02-10,일반,앱,광주,텀블러,생활,2,28000,56000,2,화,False
ORD1067,2026-02-10,골드,웹,경기,노트북,가전,2,1200000,2400000,2,화,True
ORD1068,2026-02-10,일반,앱,대구,마우스,주변기기,5,25000,125000,2,화,False
ORD1069,2026-02-11,실버,웹,서울,마우스,주변기기,4,25000,100000,2,수,False
ORD1070,2026-02-11,실버,웹,광주,노트북,가전,4,1200000,4800000,2,수,True
ORD1071,2026-02-11,VIP,웹,대구,텀블러,생활,1,28000,28000,2,수,False
ORD1072,2026-02-12,VIP,전화,대구,키보드,주변기기,4,45000,180000,2,목,False
ORD1073,2026-02-12,골드,웹,부산,마우스,주변기기,4,25000,100000,2,목,False
ORD1074,2026-02-12,골드,앱,서울,가습기,생활,2,65000,130000,2,목,False
ORD1075,2026-02-12,일반,웹,경기,키보드,주변기기,3,45000,135000,2,목,False
ORD1076,2026-02-13,VIP,앱,광주,노트북,가전,4,1200000,4800000,2,금,True
ORD1077,2026-02-14,일반,전화,대구,마우스,주변기기,5,25000,125000,2,토,False
ORD1078,2026-02-14,VIP,전화,광주,키보드,주변기기,4,45000,180000,2,토,False
ORD1080,2026-02-15,VIP,웹,광주,가습기,생활,2,65000,130000,2,일,False
ORD1081,2026-02-15,일반,웹,대구,이어폰,주변기기,5,89000,445000,2,일,False
ORD1082,2026-02-15,VIP,앱,경기,노트북,가전,3,1200000,3600000,2,일,True
ORD1084,2026-02-16,일반,전화,서울,키보드,주변기기,2,45000,90000,2,월,False
ORD1085,2026-02-16,실버,웹,경기,모니터,가전,1,350000,350000,2,월,False
ORD1086,2026-02-17,골드,웹,광주,마우스,주변기기,3,25000,75000,2,화,False
ORD1087,2026-02-19,일반,앱,광주,키보드,주변기기,1,45000,45000,2,목,False
ORD1088,2026-02-20,일반,전화,경기,가습기,생활,2,65000,130000,2,금,False
ORD1089,2026-02-20,일반,전화,서울,텀블러,생활,5,28000,140000,2,금,False
ORD1090,2026-02-20,골드,웹,대구,키보드,주변기기,1,45000,45000,2,금,False
ORD1091,2026-02-21,실버,앱,경기,가습기,생활,4,65000,260000,2,토,False
ORD1092,2026-02-21,VIP,앱,대구,키보드,주변기기,5,45000,225000,2,토,False
ORD1093,2026-02-22,일반,앱,대구,텀블러,생활,2,28000,56000,2,일,False
ORD1094,2026-02-22,골드,웹,대구,이어폰,주변기기,4,89000,356000,2,일,False
ORD1095,2026-02-23,골드,앱,광주,키보드,주변기기,3,45000,135000,2,월,False
ORD1096,2026-02-25,실버,전화,대구,모니터,가전,1,350000,350000,2,수,False
ORD1097,2026-02-25,VIP,앱,서울,가습기,생활,4,65000,260000,2,수,False
ORD1098,2026-02-25,골드,전화,광주,가습기,생활,2,65000,130000,2,수,False
ORD1099,2026-02-25,골드,앱,대구,키보드,주변기기,4,45000,180000,2,수,False
ORD1100,2026-02-27,실버,웹,경기,키보드,주변기기,1,45000,45000,2,금,False
ORD1101,2026-02-28,골드,웹,경기,텀블러,생활,5,28000,140000,2,토,False
ORD1102,2026-02-28,실버,앱,서울,키보드,주변기기,1,45000,45000,2,토,False
ORD1103,2026-02-28,VIP,웹,서울,가습기,생활,2,65000,130000,2,토,False
ORD1104,2026-02-28,실버,웹,부산,마우스,주변기기,3,25000,75000,2,토,False
ORD1105,2026-03-02,일반,웹,경기,마우스,주변기기,1,25000,25000,3,월,False
ORD1106,2026-03-02,일반,전화,대구,노트북,가전,2,1200000,2400000,3,월,True
ORD1107,2026-03-02,VIP,앱,대구,모니터,가전,5,350000,1750000,3,월,True
ORD1108,2026-03-03,일반,전화,서울,키보드,주변기기,5,45000,225000,3,화,False
ORD1109,2026-03-03,일반,웹,경기,모니터,가전,3,350000,1050000,3,화,True
ORD1110,2026-03-03,일반,전화,광주,노트북,가전,4,1200000,4800000,3,화,True
ORD1111,2026-03-04,VIP,웹,경기,가습기,생활,3,65000,195000,3,수,False
ORD1112,2026-03-04,실버,앱,서울,가습기,생활,5,65000,325000,3,수,False
ORD1113,2026-03-05,일반,웹,경기,텀블러,생활,2,28000,56000,3,목,False
ORD1114,2026-03-05,골드,앱,서울,텀블러,생활,5,28000,140000,3,목,False
ORD1115,2026-03-06,VIP,앱,서울,키보드,주변기기,5,45000,225000,3,금,False
ORD1116,2026-03-06,골드,웹,서울,가습기,생활,3,65000,195000,3,금,False
ORD1117,2026-03-06,일반,전화,부산,텀블러,생활,5,28000,140000,3,금,False
ORD1118,2026-03-07,VIP,앱,경기,마우스,주변기기,5,25000,125000,3,토,False
ORD1119,2026-03-08,골드,앱,부산,노트북,가전,4,1200000,4800000,3,일,True
ORD1120,2026-03-08,VIP,전화,대구,모니터,가전,3,350000,1050000,3,일,True
ORD1121,2026-03-08,일반,앱,서울,텀블러,생활,5,28000,140000,3,일,False
ORD1122,2026-03-09,일반,전화,광주,텀블러,생활,5,28000,140000,3,월,False
ORD1123,2026-03-09,VIP,전화,대구,이어폰,주변기기,3,89000,267000,3,월,False
ORD1124,2026-03-09,골드,앱,대구,이어폰,주변기기,2,89000,178000,3,월,False
ORD1126,2026-03-10,VIP,웹,경기,모니터,가전,1,350000,350000,3,화,False
ORD1127,2026-03-10,VIP,앱,대구,이어폰,주변기기,3,89000,267000,3,화,False
ORD1128,2026-03-10,실버,웹,부산,마우스,주변기기,2,25000,50000,3,화,False
ORD1129,2026-03-11,골드,웹,부산,텀블러,생활,5,28000,140000,3,수,False
ORD1130,2026-03-11,실버,앱,광주,이어폰,주변기기,4,89000,356000,3,수,False
ORD1131,2026-03-12,골드,웹,경기,마우스,주변기기,4,25000,100000,3,목,False
ORD1132,2026-03-12,일반,앱,대구,텀블러,생활,4,28000,112000,3,목,False
ORD1133,2026-03-12,VIP,웹,경기,마우스,주변기기,2,25000,50000,3,목,False
ORD1134,2026-03-12,일반,웹,광주,텀블러,생활,1,28000,28000,3,목,False
ORD1135,2026-03-13,일반,앱,부산,마우스,주변기기,2,25000,50000,3,금,False
ORD1136,2026-03-15,일반,앱,대구,텀블러,생활,5,28000,140000,3,일,False
ORD1137,2026-03-15,골드,웹,서울,노트북,가전,2,1200000,2400000,3,일,True
ORD1138,2026-03-17,일반,웹,부산,모니터,가전,3,350000,1050000,3,화,True
ORD1139,2026-03-17,실버,웹,광주,키보드,주변기기,4,45000,180000,3,화,False
ORD1140,2026-03-17,실버,웹,광주,모니터,가전,2,350000,700000,3,화,True
ORD1141,2026-03-18,실버,웹,대구,마우스,주변기기,5,25000,125000,3,수,False
ORD1142,2026-03-20,실버,웹,대구,키보드,주변기기,5,45000,225000,3,금,False
ORD1143,2026-03-20,골드,앱,부산,키보드,주변기기,4,45000,180000,3,금,False
ORD1144,2026-03-20,실버,앱,광주,마우스,주변기기,1,25000,25000,3,금,False
ORD1145,2026-03-21,골드,웹,광주,노트북,가전,4,1200000,4800000,3,토,True
ORD1146,2026-03-21,VIP,앱,경기,노트북,가전,5,1200000,6000000,3,토,True
ORD1147,2026-03-22,실버,전화,서울,이어폰,주변기기,3,89000,267000,3,일,False
ORD1148,2026-03-23,일반,전화,부산,텀블러,생활,4,28000,112000,3,월,False
ORD1149,2026-03-23,VIP,웹,경기,키보드,주변기기,3,45000,135000,3,월,False
ORD1150,2026-03-24,골드,웹,부산,이어폰,주변기기,5,89000,445000,3,화,False
ORD1151,2026-03-24,골드,웹,대구,텀블러,생활,3,28000,84000,3,화,False
ORD1153,2026-03-26,VIP,전화,부산,키보드,주변기기,3,45000,135000,3,목,False
ORD1154,2026-03-26,골드,전화,경기,노트북,가전,5,1200000,6000000,3,목,True
ORD1156,2026-03-27,실버,전화,경기,노트북,가전,1,1200000,1200000,3,금,True
ORD1157,2026-03-27,VIP,전화,경기,가습기,생활,5,65000,325000,3,금,False
ORD1158,2026-03-27,VIP,앱,서울,텀블러,생활,4,28000,112000,3,금,False
ORD1159,2026-03-28,일반,전화,부산,모니터,가전,3,350000,1050000,3,토,True
ORD1160,2026-03-28,VIP,앱,경기,키보드,주변기기,1,45000,45000,3,토,False
ORD1161,2026-03-28,일반,전화,경기,텀블러,생활,4,28000,112000,3,토,False
